audio,id,audio_language,labels,gender,audio_quality,additional_notes,transcription,annotator,annotation_id,created_at,updated_at,lead_time
/data/upload/4/a77209be-nigeria_abeokuta_OgunRadioFM_2021-09-03T11.05.01_15.wav,595,English,News,Female,Good,Not Covid Related,A witness around the supermarket was a scene of hysteria of footage stored online which should be both lean before the sound of gunshot could be heard,12,256,2021-11-24T08:39:11.926452Z,2021-12-09T19:21:48.362058Z,1973.488
/data/upload/4/7646f609-namibia_windhoek_EagleFM_2021-01-27T03.40.02_11.wav,661,English,News,Male,Good,Not Covid Related ,all been stra uh smuggled through Nairobi. That is what we're getting as far as that is concerned. Now in Nigeria criminals have kidnapped 7 children from an orphanage,12,292,2021-11-30T08:22:55.031442Z,2021-12-09T19:21:05.800561Z,1930.919
/data/upload/4/c861a53b-south_africa_cape_town_CapeTalk_2021-02-12T14.00.01_11.wav,449,English,News,Male,Good,Not Covid Related ,Minister Malusi Gigaba's estranged wife Norman Goma will be reconsidered. She appeared in the Pretoria match's court on charges of malicious damage to property in criminal jury of today,12,208,2021-11-24T06:56:41.214717Z,2021-12-09T19:20:25.016599Z,1890.122
/data/upload/4/6723a6e5-nigeria_abeokuta_OgunRadioFM_2021-09-03T11.05.01_11.wav,599,English,News,Female,Good,,Several miners died after sneaking into the old pit of a gold mine in Burkina Faso. While several others were injured after the police fired tear gas,12,259,2021-11-24T08:48:19.189373Z,2021-12-09T19:15:30.364477Z,1595.488
/data/upload/4/f97a4828-south_africa_cape_town_CapeTalk_2021-02-12T14.00.01_4.wav,456,English,News,Male,Good,Not Covid Related ,Alleged Mediva memorial fraud is in court and state to review case against norman gora,12,215,2021-11-24T07:47:04.705320Z,2021-12-09T19:14:28.516398Z,1533.651
/data/upload/4/2c84ced7-south_africa_cape_town_CapeTalk_2021-02-12T14.00.01_13.wav,447,English,Other,Male,Good,Not Covid related ,Saying <UNKNOWN> to the NDPP for consideration. And to study the high <UNKNOWN> related to this case,12,206,2021-11-24T06:55:23.676214Z,2021-12-09T19:13:51.827179Z,1496.947
/data/upload/4/546914b2-namibia_windhoek_EagleFM_2021-06-07T03.45.01_16.wav,628,English,Noise,Female,Okay,,um,12,263,2021-11-24T09:57:50.670456Z,2021-12-09T19:13:19.996345Z,1465.123
/data/upload/4/e9b29296-namibia_windhoek_EagleFM_2021-06-07T03.45.01_7.wav,637,English,News,Female,Good,Not Covid related,And the questions about the ability of the country and the defense and security system to stand the terrorist insurgency,12,296,2021-11-30T11:44:48.990356Z,2021-12-09T19:13:10.083599Z,1455.216
/data/upload/4/75231166-south_africa_cape_town_CapeTalk_2021-09-11T05.50.01_1.wav,442,,Other,Female,Good,Off Topic," Why are you notice being real? So even in chicken's response in saying you're not allowed to use the word fire you're not allowed to use the word okay. we need to get approximately three motions, because we've seen what it does is it allows people to not try and go into that feeling, of feeling sad, or truly just feeling",12,201,2021-11-24T06:27:36.710366Z,2021-12-09T19:12:38.748417Z,1423.866
/data/upload/4/1952efb8-south_africa_cape_town_CapeTalk_2021-02-12T14.00.01_0.wav,460,English,Conversation,Male,Good,,So how would you walk this tightrope. I have a great deal of sympathy. I have said this many times. But I think that he could have and should have been,12,219,2021-11-24T07:50:28.889281Z,2021-12-09T19:10:53.279720Z,1318.397
/data/upload/4/28e05443-south_africa_cape_town_CapeTalk_2021-02-12T14.00.01_8.wav,452,English,News,Male,Good,Not Covid related ,Kevin Grant reports. It's alleged the accused. So a moneymaking opportunity and plotted to destory the Buffalo city municipality out of 10 million rand. They managed to transfer 5.9 million to themselves. NPA Spokesperson <UNKNOWN> says they led the municipal council into accepting it was responsible for the transportation of mourners to various venues where memorial services were to be held. This matter is coming back on the role of <UNKNOWN> in 2019 in order for the investigation to tighten up their loose ends to add more charges,12,211,2021-11-24T06:59:55.579282Z,2021-12-09T19:10:15.619410Z,1280.747
/data/upload/4/91c7f933-namibia_windhoek_EagleFM_2021-06-07T03.45.01_14.wav,630,English,News,Male,Good,Not Covid Related ,"Is under pressure to deal with Health Minister <UNKNOWN>, this after daily maverick journalist unearthed 150 million grad contract",12,265,2021-11-24T09:59:57.639761Z,2021-12-09T19:07:54.934171Z,1140.063
